指标,配对用户数,标准推荐均值,随机曝光均值,平均值配对差,p_value,rank_biserial,q_fdr,FDR显著
有效观看率,18368,0.4519430803571429,0.1618209331445993,0.2901221472125435,0.0,0.9608069800491453,0.0,True
长播放率,18368,0.3371445720818815,0.07949190984320557,0.257652662238676,0.0,0.9650661330772237,0.0,True
完播率,18368,0.1525756805313589,0.029375571646341466,0.12320010888501741,0.0,0.8711593521073752,0.0,True
每次曝光平均播放时长（秒）,18368,23.582601973339504,6.467876244305314,17.11472572903419,0.0,0.9490270638515163,0.0,True
点赞率,18368,0.018597457534843202,0.004697495644599303,0.013899961890243904,1.8599053059276842e-135,0.4398495072719328,3.0998421765461404e-135,True
评论率,18368,0.0025566256533101042,0.00034977134146341464,0.00220685431184669,1.7668160510647389e-40,0.4757583880769508,2.5240229300924844e-40,True
转发率,18368,0.0008653037891986062,0.00028493031358885017,0.000580373475609756,0.8711343879875508,-0.008021320551842516,0.8711343879875508,False
主页进入率,18368,0.020729725609756097,0.005464797473867596,0.015264928135888504,2.798302130245707e-136,0.3308074512549766,5.596604260491414e-136,True
关注率,18368,0.0013918608449477352,0.00020672909407665505,0.0011851317508710802,3.359769787270358e-12,0.34722958757882527,3.733077541411509e-12,True
点踩率,18368,0.0006108721689895471,0.0014230346254355398,-0.000812162456445993,1.83569126006445e-32,-0.5489837401973894,2.2946140750805623e-32,True
