user_segment,指标,配对用户数,标准推荐均值,随机曝光均值,平均值配对差,p_value,rank_biserial,q_fdr,FDR显著
高活跃高反馈用户,有效观看率,1292,0.5995070433436532,0.257240092879257,0.34226695046439626,3.6860150864199595e-206,0.9840878180999723,1.1640047641326188e-205,True
高活跃高反馈用户,长播放率,1292,0.4630579721362229,0.13122469040247678,0.33183328173374615,1.6281656735685634e-209,0.9921545668849213,5.746467083183165e-209,True
高活跃高反馈用户,完播率,1292,0.20183614551083592,0.049263622291021665,0.15257252321981424,4.41902441957178e-185,0.9333793020745893,1.325707325871534e-184,True
高活跃高反馈用户,每次曝光平均播放时长（秒）,1292,30.198218664009286,9.274440980650155,20.92377768335913,1.3094706264569977e-206,0.9851642207744009,4.3649020881899925e-206,True
高活跃高反馈用户,点赞率,1292,0.03447856037151703,0.009337461300309598,0.025141099071207425,9.022455905875893e-26,0.5171449556222181,1.8044911811751786e-25,True
高活跃高反馈用户,评论率,1292,0.00612515479876161,0.0007024767801857585,0.005422678018575851,1.336139668392577e-09,0.5145326093989894,2.0042095025888655e-09,True
高活跃高反馈用户,转发率,1292,0.00098328173374613,0.00030781733746130033,0.0006754643962848297,0.5768284962393997,-0.0841293692533362,0.5967191340407583,False
高活跃高反馈用户,主页进入率,1292,0.032777941176470586,0.007743962848297214,0.025033978328173372,2.661552256384839e-32,0.47607165809768637,5.703326263681799e-32,True
高活跃高反馈用户,关注率,1292,0.0025608359133126937,0.00025402476780185757,0.002306811145510836,0.001503566570734851,0.4731758530183727,0.0018411019233487973,True
高活跃高反馈用户,点踩率,1292,0.0009561145510835914,0.003031269349845201,-0.00207515479876161,2.550773339713457e-09,-0.7122294802612894,3.73283903372701e-09,True
高活跃一般反馈用户,有效观看率,3937,0.34524866649733305,0.11190767081534163,0.23334099568199138,0.0,0.9521346697938208,0.0,True
高活跃一般反馈用户,长播放率,3937,0.23378989077978157,0.04924018288036576,0.1845497078994158,0.0,0.9519827748503713,0.0,True
高活跃一般反馈用户,完播率,3937,0.09483406146812294,0.01623248666497333,0.0786015748031496,0.0,0.8410219331580115,0.0,True
高活跃一般反馈用户,每次曝光平均播放时长（秒）,3937,15.696355642341885,4.6448456230632456,11.05151001927864,0.0,0.9364057031821529,0.0,True
高活跃一般反馈用户,点赞率,3937,0.00836995173990348,0.001956743713487427,0.006413208026416053,1.2688768495555944e-22,0.43124171109362475,2.455890676559215e-22,True
高活跃一般反馈用户,评论率,3937,0.0017664211328422656,0.00024533909067818134,0.0015210820421640843,1.0682046139155434e-10,0.5089173995172124,1.686638864077174e-10,True
高活跃一般反馈用户,转发率,3937,0.0005403352806705613,0.0001965201930403861,0.0003438150876301753,0.7762212751634862,0.037984396981711216,0.7893775679628673,False
高活跃一般反馈用户,主页进入率,3937,0.014869418338836678,0.003985471170942343,0.010883947167894335,2.2915387248184776e-37,0.3766001846546878,5.092308277374395e-37,True
高活跃一般反馈用户,关注率,3937,0.0005331978663957327,4.772669545339091e-05,0.00048547117094234184,0.0003840214868908357,0.5235440141725024,0.0004902401960308541,True
高活跃一般反馈用户,点踩率,3937,0.0005098044196088392,0.00041358902717805436,9.621539243078483e-05,0.3534887012794893,-0.10934896834550814,0.37873789422802423,False
一般活跃高反馈用户,有效观看率,3147,0.6256512551636478,0.2623756911344137,0.3632755640292342,0.0,0.9858814138088506,0.0,True
一般活跃高反馈用户,长播放率,3147,0.5043298379408961,0.13972424531299651,0.36460559262789966,0.0,0.9921823171738682,0.0,True
一般活跃高反馈用户,完播率,3147,0.24350365427391163,0.05272154432793136,0.1907821099459803,0.0,0.9348373286371434,0.0,True
一般活跃高反馈用户,每次曝光平均播放时长（秒）,3147,35.073664880743564,9.95723909510645,25.116425785637116,0.0,0.9801121578042298,0.0,True
一般活跃高反馈用户,点赞率,3147,0.03562872577057515,0.009944518589132506,0.025684207181442643,1.3795627100649877e-37,0.44332980646971115,3.183606253996125e-37,True
一般活跃高反馈用户,评论率,3147,0.0047488719415316166,0.0006479504289799809,0.004100921512551636,8.639539588196127e-13,0.49120499753411145,1.4810639294050502e-12,True
一般活跃高反馈用户,转发率,3147,0.0013138226882745475,0.0006785192246584049,0.0006353034636161425,0.23803449949157884,-0.10596651350489543,0.25967399944535874,False
一般活跃高反馈用户,主页进入率,3147,0.03590473466793772,0.008745980298697173,0.027158754369240548,1.8238235964889697e-47,0.3898184147684808,4.3771766315735273e-47,True
一般活跃高反馈用户,关注率,3147,0.0025882745471877975,0.0003575468700349539,0.002230727677152844,0.0004131634563525365,0.3197504733729382,0.0005164543204406706,True
一般活跃高反馈用户,点踩率,3147,0.0007854146806482364,0.0024568160152526218,-0.001671401334604385,2.1466035158821685e-15,-0.7011968947624453,3.788123851556768e-15,True
一般活跃一般反馈用户,有效观看率,6536,0.3815829406364749,0.11486271419828642,0.26672022643818855,0.0,0.9505847868836239,0.0,True
一般活跃一般反馈用户,长播放率,6536,0.2694059669522644,0.05194094247246022,0.21746502447980418,0.0,0.9482060351768524,0.0,True
一般活跃一般反馈用户,完播率,6536,0.11642357711138313,0.01845437576499388,0.09796920134638923,0.0,0.8372816533740426,0.0,True
一般活跃一般反馈用户,每次曝光平均播放时长（秒）,6536,19.083402042013464,4.917855251193391,14.165546790820073,0.0,0.9323504338078191,0.0,True
一般活跃一般反馈用户,点赞率,6536,0.009727279681762544,0.0020188494492044064,0.00770843023255814,6.405736556825814e-32,0.42706706357128993,1.3253248048605133e-31,True
一般活跃一般反馈用户,评论率,6536,0.0012681303549571606,0.0002071450428396573,0.001060985312117503,1.6775796274879717e-05,0.345712159577284,2.236772836650629e-05,True
一般活跃一般反馈用户,转发率,6536,0.0006716034271725826,0.00018956548347613217,0.0004820379436964504,0.8030925266407041,-0.023667240763367903,0.8030925266407041,False
一般活跃一般反馈用户,主页进入率,6536,0.014236673806609547,0.0039995104039167685,0.010237163402692779,2.9008504381961e-21,0.24155128697483993,5.439094571617687e-21,True
一般活跃一般反馈用户,关注率,6536,0.0007175030599755203,0.0001439718482252142,0.000573531211750306,0.0076520025387123635,0.2945284821949905,0.008829233698514266,True
一般活跃一般反馈用户,点踩率,6536,0.0005157741738066095,0.0009579712362301102,-0.0004421970624235006,1.9663368638028845e-08,-0.5022230460302749,2.8090526625755494e-08,True
