指标,配对视频数,标准推荐均值,随机曝光均值,平均值配对差,p_value,rank_biserial,q_fdr,FDR显著
有效观看率,4626,0.38906299178555986,0.19283281452658885,0.19623017725897104,0.0,0.8276257474130668,0.0,True
长播放率,4626,0.2764814958927799,0.10004948119325552,0.1764320146995244,0.0,0.8762804381455918,0.0,True
完播率,4626,0.11488305231301339,0.0393850410722006,0.07549801124081279,0.0,0.6898733216028327,0.0,True
每次曝光平均播放时长（秒）,4626,19.69573915339386,7.752290322849114,11.943448830544746,0.0,0.8118431346826008,0.0,True
点赞率,4626,0.01797237354085603,0.005254193687851276,0.012718179853004755,6.24712835459113e-17,0.1560550942616488,1.0411880590985217e-16,True
评论率,4626,0.0024120406398616514,0.0004215737137916126,0.0019904669260700386,2.9870488222635063e-15,0.2994540330629356,4.267212603233581e-15,True
转发率,4626,0.0008584089926502378,0.00035635538261997405,0.0005020536100302636,0.01921087070293724,-0.1130890113211056,0.01921087070293724,True
主页进入率,4626,0.016838175529615217,0.0059659100734976225,0.010872265456117598,5.968821887957807e-11,0.12035584108424294,7.461027359947257e-11,True
关注率,4626,0.0015169476869865976,0.0002746000864677908,0.0012423476005188068,1.3282089523523696e-06,0.2248279386795814,1.4757877248359663e-06,True
点踩率,4626,0.0008460008646779075,0.001099956766104626,-0.0002539559014267185,2.634147579555965e-68,-0.5829785232245143,5.26829515911193e-68,True
